ID,length,imagepath-length,width,imagepath-width,label,L-length,T-length,A-length,E-length,L-width,T-width,A-width,E-width,weight-day1,weight-day2,weight-day3,weight-day4,weight-day5,weight-day6
1111,64.086,200620_055117_0000000011_CAM2_OK.bmp,47.317,200620_055129_0000000012_CAM2_OK.bmp,M,1.1380382,0.707205896,0.1380382,0.41401536,1.12361848,0.715843207,0.12361848,0.396953955,58.826,58.434,58.021,57.608,57.147,56.714
1112,69.633,200620_055203_0000000013_CAM2_OK.bmp,50.663,200620_055213_0000000014_CAM2_OK.bmp,F,1.136803776,0.709135694,0.136803776,0.410167346,1.111457807,0.720113872,0.111457807,0.388669262,55.821,55.454,55.073,54.696,54.269,53.87
1113,64.015,200620_055226_0000000015_CAM2_OK.bmp,49.161,200620_055233_0000000016_CAM2_OK.bmp,F,1.055587142,0.764074661,0.055587142,0.308772626,1.047784444,0.768030161,0.047784444,0.302032199,61.198,60.837,60.476,60.115,59.699,59.309
1114,65.063,200620_055259_0000000017_CAM2_OK.bmp,50.988,200620_055305_0000000018_CAM2_OK.bmp,M,1.081331515,0.773551183,0.081331515,0.292739281,1.08144386,0.778052395,0.08144386,0.285260487,65.271,64.912,64.552,64.192,63.777,63.398
1115,65.331,200620_055323_0000000019_CAM2_OK.bmp,50.357,200620_055328_0000000020_CAM2_OK.bmp,M,1.10146403,0.760498325,0.10146403,0.314927288,1.097333835,0.765669121,0.097333835,0.306047185,58.355,58.029,57.7,57.357,56.991,56.647
1116,64.131,200620_055342_0000000021_CAM2_OK.bmp,48.629,200620_055350_0000000022_CAM2_OK.bmp,F,1.065326561,0.750527963,0.065326561,0.332395392,1.064202921,0.752690853,0.064202921,0.328566696,61.303,60.918,60.51,60.093,59.652,59.234
1121,61.392,200620_055417_0000000023_CAM2_OK.bmp,48.507,200620_055423_0000000024_CAM2_OK.bmp,M,1.077924092,0.783113319,0.077924092,0.276954401,1.08010491,0.787743314,0.08010491,0.269449048,56.827,56.458,56.085,55.701,55.304,54.907
1122,65.004,200620_055505_0000000025_CAM2_OK.bmp,47.612,200620_055511_0000000026_CAM2_OK.bmp,M,1.110432507,0.727430457,0.110432507,0.374701856,1.108993974,0.733206619,0.108993974,0.363872031,57.572,57.165,56.753,56.34,55.892,55.444
1123,64.055,200620_055524_0000000027_CAM2_OK.bmp,48.462,200620_055528_0000000028_CAM2_OK.bmp,M,1.104212383,0.746797454,0.104212383,0.339051164,1.114777778,0.749103646,0.114777778,0.334928758,56.421,56.128,55.83,55.529,55.206,54.883
1124,62.983,200620_055559_0000000029_CAM2_OK.bmp,48.295,200620_055604_0000000030_CAM2_OK.bmp,M,1.076843735,0.762791587,0.076843735,0.31097408,1.081090271,0.768084795,0.081090271,0.301939586,58.809,58.446,58.07,57.69,57.2875,56.885
1125,67.672,200620_055622_0000000031_CAM2_OK.bmp,48.039,200620_055626_0000000032_CAM2_OK.bmp,F,1.13613708,0.72304776,0.13613708,0.383034505,1.065952273,0.735005589,0.065952273,0.360533872,61.397,61.074,60.735,60.4,60.042,59.684
1126,63.07,200620_055647_0000000033_CAM2_OK.bmp,47.937,200620_055651_0000000034_CAM2_OK.bmp,M,1.09555735,0.75960999,0.09555735,0.316465045,1.082970163,0.76249245,0.082970163,0.311488396,57.864,57.502,57.112,56.745,56.3485,55.952
1131,62.807,200620_055718_0000000035_CAM2_OK.bmp,47.718,200620_055723_0000000036_CAM2_OK.bmp,M,1.097836139,0.749529038,0.097836139,0.334171125,1.097104477,0.75298696,0.097104477,0.328044247,57.818,57.405,56.978,56.572,56.113,55.686
1132,65.594,200620_055734_0000000037_CAM2_OK.bmp,48.792,200620_055738_0000000038_CAM2_OK.bmp,M,1.053386001,0.737717982,0.053386001,0.35553155,1.053789435,0.741715449,0.053789435,0.348225928,55.71,55.354,54.987,54.642,54.247,53.879
1133,61.874,200620_055747_0000000039_CAM2_OK.bmp,48.328,200620_055752_0000000040_CAM2_OK.bmp,M,1.133372229,0.739042224,0.133372229,0.353102662,1.122529207,0.74592772,0.122529207,0.340612465,58.602,58.242,57.87,57.515,57.113,56.738
1134,65.069,200620_055813_0000000041_CAM2_OK.bmp,49.11,200620_055818_0000000042_CAM2_OK.bmp,Not fertile,1.149694604,0.739744401,0.149694604,0.351818274,1.118342266,0.748495377,0.118342266,0.336013596,59.604,59.267,58.912,58.568,58.184,57.827
1135,62.108,200620_055842_0000000043_CAM2_OK.bmp,49.574,200620_055847_0000000044_CAM2_OK.bmp,M,1.054277045,0.793332504,0.054277045,0.26050552,1.050022211,0.79488192,0.050022211,0.258048491,58.987,58.651,58.289,57.943,57.568,57.209
1136,65.513,200620_055859_0000000045_CAM2_OK.bmp,49.542,200620_055904_0000000046_CAM2_OK.bmp,M,1.076799952,0.753219497,0.076799952,0.327634247,1.07048016,0.755758102,0.07048016,0.323174701,58.125,57.782,57.414,57.058,56.679,56.31
1141,63.438,200620_055924_0000000047_CAM2_OK.bmp,48.367,200620_055930_0000000048_CAM2_OK.bmp,M,1.10876327,0.756984098,0.10876327,0.321031713,1.101496214,0.761254747,0.101496214,0.313620708,60.639,60.249,59.845,59.465,59.032,58.628
1142,63.212,200620_055940_0000000049_CAM2_OK.bmp,43.963,200620_055944_0000000050_CAM2_OK.bmp,F,1.106833121,0.736393294,0.106833121,0.357969997,1.101056064,0.742594838,0.101056064,0.346629345,57.337,56.913,56.477,56.063,55.593,55.154
1143,62.006,200620_055956_0000000051_CAM2_OK.bmp,47.23,200620_060002_0000000052_CAM2_OK.bmp,Not fertile,1.10041092,0.75438352,0.10041092,0.325585692,1.124608041,0.759861329,0.124608041,0.316029598,59.804,59.433,59.05,58.68,58.262,57.88
1144,63.299,200620_060028_0000000053_CAM2_OK.bmp,45.321,200620_060031_0000000054_CAM2_OK.bmp,M,1.086807818,0.75200188,0.086807818,0.329783909,1.095690243,0.754929369,0.095690243,0.324627232,62.648,62.267,61.865,61.477,61.052,60.654
1145,59.908,200620_060109_0000000055_CAM2_OK.bmp,48.551,200620_060116_0000000056_CAM2_OK.bmp,M,1.068143536,0.802327053,0.068143536,0.246374526,1.076396734,0.806703229,0.076396734,0.239613236,54.052,53.689,53.3,52.926,52.526,51.972
1146,60.378,200620_060130_0000000057_CAM2_OK.bmp,49.169,200620_060136_0000000058_CAM2_OK.bmp,M,1.122297104,0.79804687,0.122297104,0.253059234,1.133225744,0.804136603,0.133225744,0.243569806,61.516,61.201,60.864,60.539,60.192,59.856
1151,63.114,200620_060159_0000000059_CAM2_OK.bmp,48.263,200620_060204_0000000060_CAM2_OK.bmp,M,1.131856801,0.764178261,0.131856801,0.308595195,1.162812983,0.770563976,0.162812983,0.29775078,56.408,56.072,55.716,55.384,55.017,55.677
1152,63.163,200620_060226_0000000061_CAM2_OK.bmp,46.534,200620_060232_0000000062_CAM2_OK.bmp,Not fertile,1.060489978,0.733056827,0.060489978,0.364150722,1.054297202,0.736311054,0.054297202,0.358121673,57.928,57.583,57.215,56.874,56.497,56.139
1153,64.082,200620_060242_0000000063_CAM2_OK.bmp,47.717,200620_060247_0000000064_CAM2_OK.bmp,M,1.080710666,0.740803961,0.080710666,0.34988479,1.079390557,0.743246422,0.079390557,0.34544879,57.981,57.656,57.314,56.986,56.625,56.286
1154,61.783,200620_060305_0000000065_CAM2_OK.bmp,47.022,200620_060308_0000000066_CAM2_OK.bmp,M,1.101893244,0.751379252,0.101893244,0.330885831,1.103925364,0.758297473,0.103925364,0.31874368,56.077,55.706,55.312,54.932,54.523,54.133
1155,60.379,200620_060325_0000000067_CAM2_OK.bmp,49.004,200620_060329_0000000068_CAM2_OK.bmp,M,1.126425497,0.763181078,0.126425497,0.310305024,1.103013524,0.769618273,0.103013524,0.299345449,64.925,64.579,64.209,63.849,63.462,63.092
1156,68.884,200620_060348_0000000069_CAM2_OK.bmp,47.944,200620_060357_0000000070_CAM2_OK.bmp,F,1.090123763,0.684135548,0.090123763,0.46169864,1.089830061,0.688371785,0.089830061,0.452703354,59.712,59.374,59.014,58.664,58.291,57.931
1161,66.115,200620_060519_0000000071_CAM2_OK.bmp,49.543,200620_060529_0000000072_CAM2_OK.bmp,M,1.113937999,0.721434686,0.113937999,0.386126866,1.088501136,0.725939348,0.088501136,0.377525551,57.672,57.286,56.879,56.489,56.075,54.672
