ID,length,imagepath-length,width,imagepath-width,label,L-length,T-length,A-length,E-length,L-width,T-width,A-width,E-width,weight-day1,weight-day2,round
1144,63.299,200620_060028_0000000053_CAM2_OK.bmp,45.321,200620_060031_0000000054_CAM2_OK.bmp,M,1.091662739,0.751192772,0.091662739,0.331216218,1.097081083,0.75478836,0.097081083,0.324874697,62.648,62.267,3
1145,59.908,200620_060109_0000000055_CAM2_OK.bmp,48.551,200620_060116_0000000056_CAM2_OK.bmp,M,1.069801472,0.802292484,0.069801472,0.246428229,1.077747648,0.806563916,0.077747648,0.239827346,54.052,53.689,3
1146,60.378,200620_060130_0000000057_CAM2_OK.bmp,49.169,200620_060136_0000000058_CAM2_OK.bmp,M,1.122502117,0.797373516,0.122502117,0.254117399,1.136352006,0.803973302,0.136352006,0.243822398,61.516,61.201,3
1151,63.114,200620_060159_0000000059_CAM2_OK.bmp,48.263,200620_060204_0000000060_CAM2_OK.bmp,M,1.133517774,0.764219744,0.133517774,0.308524163,1.161058954,0.770225951,0.161058954,0.298320316,56.408,56.072,3
1152,63.163,200620_060226_0000000061_CAM2_OK.bmp,46.534,200620_060232_0000000062_CAM2_OK.bmp,Not fertile,1.061140267,0.732914638,0.061140267,0.364415374,1.055132854,0.736682762,0.055132854,0.357436405,57.928,57.583,3
1153,64.082,200620_060242_0000000063_CAM2_OK.bmp,47.717,200620_060247_0000000064_CAM2_OK.bmp,M,1.081201672,0.7406731,0.081201672,0.350123287,1.079072674,0.743066371,0.079072674,0.345774803,57.981,57.656,3
1154,61.783,200620_060305_0000000065_CAM2_OK.bmp,47.022,200620_060308_0000000066_CAM2_OK.bmp,M,1.101447499,0.750535747,0.101447499,0.332381573,1.10491806,0.758083008,0.10491806,0.319116758,56.077,55.706,3
1155,60.379,200620_060325_0000000067_CAM2_OK.bmp,49.004,200620_060329_0000000068_CAM2_OK.bmp,M,1.126677136,0.762130959,0.126677136,0.312110456,1.114426881,0.769009515,0.114426881,0.300374028,64.925,64.579,3
1156,68.884,200620_060348_0000000069_CAM2_OK.bmp,47.944,200620_060357_0000000070_CAM2_OK.bmp,F,1.091114201,0.684027907,0.091114201,0.461928658,1.090674403,0.688276707,0.090674403,0.452904029,59.712,59.374,3
1161,66.115,200620_060519_0000000071_CAM2_OK.bmp,49.543,200620_060529_0000000072_CAM2_OK.bmp,M,1.08248781,0.723236012,0.08248781,0.382674511,1.087298298,0.726072271,0.087298298,0.377273365,57.672,57.286,3
1162,65.577,200620_060553_0000000073_CAM2_OK.bmp,48.293,200620_060600_0000000074_CAM2_OK.bmp,M,1.075361428,0.730762765,0.075361428,0.36843316,1.068914419,0.735365813,0.068914419,0.359867406,55.315,54.986,3
1163,63.406,200620_060615_0000000075_CAM2_OK.bmp,48.752,200620_060620_0000000076_CAM2_OK.bmp,No result,1.085108337,0.751068304,0.085108337,0.331436827,1.04019757,0.76323241,0.04019757,0.310216896,58.205,57.869,3
1164,60.564,200620_060640_0000000077_CAM2_OK.bmp,46.617,200620_060652_0000000078_CAM2_OK.bmp,F,1.104703582,0.742987446,0.104703582,0.345917762,1.119374146,0.745562486,0.119374146,0.341269201,49.822,49.518,3
